,EthnicGroup,ParentEduc,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Gender_female,Gender_male,LunchType_free/reduced,LunchType_standard
0,2,1,1,1,1,1,3.0,1,1,71,71,74,1.0,0.0,0.0,1.0
1,2,5,1,1,2,1,0.0,2,0,69,90,88,1.0,0.0,0.0,1.0
2,1,3,1,2,2,1,4.0,1,1,87,93,91,1.0,0.0,0.0,1.0
3,0,0,1,1,0,0,1.0,2,0,45,56,42,0.0,1.0,1.0,0.0
4,2,5,1,1,2,1,0.0,1,0,76,78,75,0.0,1.0,0.0,1.0
5,1,0,1,1,1,1,1.0,1,0,73,84,79,1.0,0.0,0.0,1.0
6,1,5,0,3,0,0,1.0,0,0,85,93,89,1.0,0.0,0.0,1.0
7,1,5,1,1,2,1,1.0,0,2,41,43,39,0.0,1.0,1.0,0.0
8,3,2,0,2,2,0,3.0,0,2,65,64,68,0.0,1.0,1.0,0.0
9,1,2,1,1,1,1,2.0,0,1,37,59,50,1.0,0.0,1.0,0.0
10,2,0,1,1,2,1,1.0,0,0,58,54,52,0.0,1.0,0.0,1.0
11,3,0,1,0,2,1,1.0,1,0,40,52,43,0.0,1.0,0.0,1.0
12,1,2,1,1,1,0,1.0,0,0,66,82,74,1.0,0.0,0.0,1.0
13,0,5,0,2,2,1,1.0,0,2,80,73,71,0.0,1.0,0.0,1.0
14,0,3,1,0,2,1,2.0,0,1,48,53,58,1.0,0.0,0.0,1.0
15,2,6,1,1,2,1,0.0,0,0,69,75,78,1.0,0.0,0.0,1.0
16,2,2,1,1,2,1,0.0,1,0,88,89,86,0.0,1.0,0.0,1.0
17,1,6,1,0,2,1,1.0,1,0,18,32,28,1.0,0.0,1.0,0.0
18,2,3,0,2,2,0,1.0,0,0,46,42,47,0.0,1.0,1.0,0.0
19,2,0,1,1,0,1,3.0,0,1,50,56,58,1.0,0.0,1.0,0.0
20,3,2,1,1,2,1,5.0,1,0,66,69,63,0.0,1.0,0.0,1.0
21,1,5,0,1,2,0,2.0,1,0,65,75,70,1.0,0.0,1.0,0.0
22,3,4,1,1,0,1,5.0,2,0,42,53,51,0.0,1.0,0.0,1.0
23,2,6,1,0,0,0,3.0,2,0,66,71,71,1.0,0.0,0.0,1.0
24,3,4,0,1,2,1,2.0,1,0,74,71,80,0.0,1.0,1.0,0.0
25,0,3,1,1,1,1,1.0,1,0,75,76,76,0.0,1.0,1.0,0.0
26,1,5,1,1,2,1,5.0,1,1,66,53,53,0.0,1.0,0.0,1.0
27,2,1,1,1,2,1,4.0,1,2,69,70,76,1.0,0.0,0.0,1.0
28,2,2,1,1,2,0,1.0,0,0,70,70,65,0.0,1.0,0.0,1.0
29,3,5,1,2,2,1,0.0,0,1,66,72,72,1.0,0.0,0.0,1.0
